county,precinct,office,district,party,candidate,votetype,votes
Allegheny,South Park Dist 3,US Senator,NA,LIB,John C. Thomas,total,10
Allegheny,South Park Dist 3,US Senator,NA,GRN,Leila Hazou,total,9
Allegheny,South Park Dist 3,US Senator,NA,CON,Marty Selker,total,1
Allegheny,South Park Dist 3,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 4,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,388
Allegheny,South Park Dist 4,US Senator,NA,REP,Dave McCormick,total,323
Allegheny,South Park Dist 4,US Senator,NA,LIB,John C. Thomas,total,13
Allegheny,South Park Dist 4,US Senator,NA,GRN,Leila Hazou,total,3
Allegheny,South Park Dist 4,US Senator,NA,CON,Marty Selker,total,2
Allegheny,South Park Dist 4,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 5,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,311
Allegheny,South Park Dist 5,US Senator,NA,REP,Dave McCormick,total,307
Allegheny,South Park Dist 5,US Senator,NA,LIB,John C. Thomas,total,6
Allegheny,South Park Dist 5,US Senator,NA,GRN,Leila Hazou,total,3
Allegheny,South Park Dist 5,US Senator,NA,CON,Marty Selker,total,1
Allegheny,South Park Dist 5,US Senator,NA,WRI,Write-in,total,2
Allegheny,South Park Dist 6,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,354
Allegheny,South Park Dist 6,US Senator,NA,REP,Dave McCormick,total,346
Allegheny,South Park Dist 6,US Senator,NA,LIB,John C. Thomas,total,13
Allegheny,South Park Dist 6,US Senator,NA,GRN,Leila Hazou,total,4
Allegheny,South Park Dist 6,US Senator,NA,CON,Marty Selker,total,2
Allegheny,South Park Dist 6,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 7,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,449
Allegheny,South Park Dist 7,US Senator,NA,REP,Dave McCormick,total,440
Allegheny,South Park Dist 7,US Senator,NA,LIB,John C. Thomas,total,6
Allegheny,South Park Dist 7,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,South Park Dist 7,US Senator,NA,CON,Marty Selker,total,0
Allegheny,South Park Dist 7,US Senator,NA,WRI,Write-in,total,1
Allegheny,South Park Dist 8,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,223
Allegheny,South Park Dist 8,US Senator,NA,REP,Dave McCormick,total,231
Allegheny,South Park Dist 8,US Senator,NA,LIB,John C. Thomas,total,7
Allegheny,South Park Dist 8,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,South Park Dist 8,US Senator,NA,CON,Marty Selker,total,1
Allegheny,South Park Dist 8,US Senator,NA,WRI,Write-in,total,1
Allegheny,South Park Dist 9,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,324
Allegheny,South Park Dist 9,US Senator,NA,REP,Dave McCormick,total,350
Allegheny,South Park Dist 9,US Senator,NA,LIB,John C. Thomas,total,6
Allegheny,South Park Dist 9,US Senator,NA,GRN,Leila Hazou,total,6
Allegheny,South Park Dist 9,US Senator,NA,CON,Marty Selker,total,2
Allegheny,South Park Dist 9,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 10,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,327
Allegheny,South Park Dist 10,US Senator,NA,REP,Dave McCormick,total,416
Allegheny,South Park Dist 10,US Senator,NA,LIB,John C. Thomas,total,9
Allegheny,South Park Dist 10,US Senator,NA,GRN,Leila Hazou,total,3
Allegheny,South Park Dist 10,US Senator,NA,CON,Marty Selker,total,3
Allegheny,South Park Dist 10,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 11,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,191
Allegheny,South Park Dist 11,US Senator,NA,REP,Dave McCormick,total,251
Allegheny,South Park Dist 11,US Senator,NA,LIB,John C. Thomas,total,8
Allegheny,South Park Dist 11,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,South Park Dist 11,US Senator,NA,CON,Marty Selker,total,3
Allegheny,South Park Dist 11,US Senator,NA,WRI,Write-in,total,1
Allegheny,South Park Dist 12,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,240
Allegheny,South Park Dist 12,US Senator,NA,REP,Dave McCormick,total,261
Allegheny,South Park Dist 12,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,South Park Dist 12,US Senator,NA,GRN,Leila Hazou,total,6
Allegheny,South Park Dist 12,US Senator,NA,CON,Marty Selker,total,0
Allegheny,South Park Dist 12,US Senator,NA,WRI,Write-in,total,0
Allegheny,South Park Dist 13,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,409
Allegheny,South Park Dist 13,US Senator,NA,REP,Dave McCormick,total,566
Allegheny,South Park Dist 13,US Senator,NA,LIB,John C. Thomas,total,12
Allegheny,South Park Dist 13,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,South Park Dist 13,US Senator,NA,CON,Marty Selker,total,4
Allegheny,South Park Dist 13,US Senator,NA,WRI,Write-in,total,0
Allegheny,S Versailles,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,60
Allegheny,S Versailles,US Senator,NA,REP,Dave McCormick,total,126
Allegheny,S Versailles,US Senator,NA,LIB,John C. Thomas,total,3
Allegheny,S Versailles,US Senator,NA,GRN,Leila Hazou,total,0
Allegheny,S Versailles,US Senator,NA,CON,Marty Selker,total,0
Allegheny,S Versailles,US Senator,NA,WRI,Write-in,total,0
Allegheny,Springdale Br Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,271
Allegheny,Springdale Br Dist 1,US Senator,NA,REP,Dave McCormick,total,239
Allegheny,Springdale Br Dist 1,US Senator,NA,LIB,John C. Thomas,total,8
Allegheny,Springdale Br Dist 1,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,Springdale Br Dist 1,US Senator,NA,CON,Marty Selker,total,6
Allegheny,Springdale Br Dist 1,US Senator,NA,WRI,Write-in,total,1
Allegheny,Springdale Br Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,225
Allegheny,Springdale Br Dist 2,US Senator,NA,REP,Dave McCormick,total,268
Allegheny,Springdale Br Dist 2,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Springdale Br Dist 2,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,Springdale Br Dist 2,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Springdale Br Dist 2,US Senator,NA,WRI,Write-in,total,0
Allegheny,Springdale Br Dist 3,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,213
Allegheny,Springdale Br Dist 3,US Senator,NA,REP,Dave McCormick,total,211
Allegheny,Springdale Br Dist 3,US Senator,NA,LIB,John C. Thomas,total,9
Allegheny,Springdale Br Dist 3,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,Springdale Br Dist 3,US Senator,NA,CON,Marty Selker,total,4
Allegheny,Springdale Br Dist 3,US Senator,NA,WRI,Write-in,total,1
Allegheny,Springdale Br Dist 4,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,185
Allegheny,Springdale Br Dist 4,US Senator,NA,REP,Dave McCormick,total,173
Allegheny,Springdale Br Dist 4,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Springdale Br Dist 4,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Springdale Br Dist 4,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Springdale Br Dist 4,US Senator,NA,WRI,Write-in,total,0
Allegheny,Springdale Twp,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,432
Allegheny,Springdale Twp,US Senator,NA,REP,Dave McCormick,total,520
Allegheny,Springdale Twp,US Senator,NA,LIB,John C. Thomas,total,13
Allegheny,Springdale Twp,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,Springdale Twp,US Senator,NA,CON,Marty Selker,total,7
Allegheny,Springdale Twp,US Senator,NA,WRI,Write-in,total,1
Allegheny,Stowe Ward 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,175
Allegheny,Stowe Ward 1,US Senator,NA,REP,Dave McCormick,total,82
Allegheny,Stowe Ward 1,US Senator,NA,LIB,John C. Thomas,total,2
Allegheny,Stowe Ward 1,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Stowe Ward 1,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Stowe Ward 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,55
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,REP,Dave McCormick,total,34
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,LIB,John C. Thomas,total,2
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,GRN,Leila Hazou,total,0
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Stowe Ward 2 Dist 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,264
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,REP,Dave McCormick,total,161
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,LIB,John C. Thomas,total,7
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,GRN,Leila Hazou,total,6
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,CON,Marty Selker,total,4
Allegheny,Stowe Ward 2 Dist 2,US Senator,NA,WRI,Write-in,total,2
Allegheny,Stowe Ward 3,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,110
Allegheny,Stowe Ward 3,US Senator,NA,REP,Dave McCormick,total,101
Allegheny,Stowe Ward 3,US Senator,NA,LIB,John C. Thomas,total,3
Allegheny,Stowe Ward 3,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Stowe Ward 3,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Stowe Ward 3,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,125
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,REP,Dave McCormick,total,99
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,LIB,John C. Thomas,total,6
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Stowe Ward 4 Dist 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,136
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,REP,Dave McCormick,total,156
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Stowe Ward 4 Dist 2,US Senator,NA,WRI,Write-in,total,2
Allegheny,Stowe Ward 5,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,163
Allegheny,Stowe Ward 5,US Senator,NA,REP,Dave McCormick,total,88
Allegheny,Stowe Ward 5,US Senator,NA,LIB,John C. Thomas,total,3
Allegheny,Stowe Ward 5,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Stowe Ward 5,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Stowe Ward 5,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 6,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,199
Allegheny,Stowe Ward 6,US Senator,NA,REP,Dave McCormick,total,63
Allegheny,Stowe Ward 6,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Stowe Ward 6,US Senator,NA,GRN,Leila Hazou,total,4
Allegheny,Stowe Ward 6,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Stowe Ward 6,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 7,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,89
Allegheny,Stowe Ward 7,US Senator,NA,REP,Dave McCormick,total,44
Allegheny,Stowe Ward 7,US Senator,NA,LIB,John C. Thomas,total,0
Allegheny,Stowe Ward 7,US Senator,NA,GRN,Leila Hazou,total,3
Allegheny,Stowe Ward 7,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Stowe Ward 7,US Senator,NA,WRI,Write-in,total,1
Allegheny,Stowe Ward 8,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,100
Allegheny,Stowe Ward 8,US Senator,NA,REP,Dave McCormick,total,63
Allegheny,Stowe Ward 8,US Senator,NA,LIB,John C. Thomas,total,3
Allegheny,Stowe Ward 8,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Stowe Ward 8,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Stowe Ward 8,US Senator,NA,WRI,Write-in,total,0
Allegheny,Stowe Ward 9,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,90
Allegheny,Stowe Ward 9,US Senator,NA,REP,Dave McCormick,total,43
Allegheny,Stowe Ward 9,US Senator,NA,LIB,John C. Thomas,total,2
Allegheny,Stowe Ward 9,US Senator,NA,GRN,Leila Hazou,total,0
Allegheny,Stowe Ward 9,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Stowe Ward 9,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,419
Allegheny,Swissvale Dist 1,US Senator,NA,REP,Dave McCormick,total,77
Allegheny,Swissvale Dist 1,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Swissvale Dist 1,US Senator,NA,GRN,Leila Hazou,total,13
Allegheny,Swissvale Dist 1,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Swissvale Dist 1,US Senator,NA,WRI,Write-in,total,1
Allegheny,Swissvale Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,405
Allegheny,Swissvale Dist 2,US Senator,NA,REP,Dave McCormick,total,57
Allegheny,Swissvale Dist 2,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Swissvale Dist 2,US Senator,NA,GRN,Leila Hazou,total,15
Allegheny,Swissvale Dist 2,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Swissvale Dist 2,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 3,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,395
Allegheny,Swissvale Dist 3,US Senator,NA,REP,Dave McCormick,total,45
Allegheny,Swissvale Dist 3,US Senator,NA,LIB,John C. Thomas,total,8
Allegheny,Swissvale Dist 3,US Senator,NA,GRN,Leila Hazou,total,8
Allegheny,Swissvale Dist 3,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Swissvale Dist 3,US Senator,NA,WRI,Write-in,total,1
Allegheny,Swissvale Dist 4,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,341
Allegheny,Swissvale Dist 4,US Senator,NA,REP,Dave McCormick,total,83
Allegheny,Swissvale Dist 4,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Swissvale Dist 4,US Senator,NA,GRN,Leila Hazou,total,10
Allegheny,Swissvale Dist 4,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Swissvale Dist 4,US Senator,NA,WRI,Write-in,total,2
Allegheny,Swissvale Dist 5,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,455
Allegheny,Swissvale Dist 5,US Senator,NA,REP,Dave McCormick,total,95
Allegheny,Swissvale Dist 5,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Swissvale Dist 5,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,Swissvale Dist 5,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Swissvale Dist 5,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 6,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,198
Allegheny,Swissvale Dist 6,US Senator,NA,REP,Dave McCormick,total,26
Allegheny,Swissvale Dist 6,US Senator,NA,LIB,John C. Thomas,total,2
Allegheny,Swissvale Dist 6,US Senator,NA,GRN,Leila Hazou,total,10
Allegheny,Swissvale Dist 6,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Swissvale Dist 6,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 7,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,430
Allegheny,Swissvale Dist 7,US Senator,NA,REP,Dave McCormick,total,84
Allegheny,Swissvale Dist 7,US Senator,NA,LIB,John C. Thomas,total,1
Allegheny,Swissvale Dist 7,US Senator,NA,GRN,Leila Hazou,total,8
Allegheny,Swissvale Dist 7,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Swissvale Dist 7,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 8,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,405
Allegheny,Swissvale Dist 8,US Senator,NA,REP,Dave McCormick,total,78
Allegheny,Swissvale Dist 8,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Swissvale Dist 8,US Senator,NA,GRN,Leila Hazou,total,12
Allegheny,Swissvale Dist 8,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Swissvale Dist 8,US Senator,NA,WRI,Write-in,total,1
Allegheny,Swissvale Dist 9,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,401
Allegheny,Swissvale Dist 9,US Senator,NA,REP,Dave McCormick,total,65
Allegheny,Swissvale Dist 9,US Senator,NA,LIB,John C. Thomas,total,9
Allegheny,Swissvale Dist 9,US Senator,NA,GRN,Leila Hazou,total,11
Allegheny,Swissvale Dist 9,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Swissvale Dist 9,US Senator,NA,WRI,Write-in,total,1
Allegheny,Swissvale Dist 10,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,126
Allegheny,Swissvale Dist 10,US Senator,NA,REP,Dave McCormick,total,14
Allegheny,Swissvale Dist 10,US Senator,NA,LIB,John C. Thomas,total,1
Allegheny,Swissvale Dist 10,US Senator,NA,GRN,Leila Hazou,total,4
Allegheny,Swissvale Dist 10,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Swissvale Dist 10,US Senator,NA,WRI,Write-in,total,0
Allegheny,Swissvale Dist 11,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,473
Allegheny,Swissvale Dist 11,US Senator,NA,REP,Dave McCormick,total,60
Allegheny,Swissvale Dist 11,US Senator,NA,LIB,John C. Thomas,total,3
Allegheny,Swissvale Dist 11,US Senator,NA,GRN,Leila Hazou,total,10
Allegheny,Swissvale Dist 11,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Swissvale Dist 11,US Senator,NA,WRI,Write-in,total,0
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,216
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,REP,Dave McCormick,total,215
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,LIB,John C. Thomas,total,13
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,GRN,Leila Hazou,total,9
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Tarentum Ward 1 Dist 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,175
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,REP,Dave McCormick,total,183
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,LIB,John C. Thomas,total,12
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Tarentum Ward 1 Dist 2,US Senator,NA,WRI,Write-in,total,1
Allegheny,Tarentum Ward 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,181
Allegheny,Tarentum Ward 2,US Senator,NA,REP,Dave McCormick,total,173
Allegheny,Tarentum Ward 2,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Tarentum Ward 2,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Tarentum Ward 2,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Tarentum Ward 2,US Senator,NA,WRI,Write-in,total,1
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,78
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,REP,Dave McCormick,total,97
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,LIB,John C. Thomas,total,5
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,CON,Marty Selker,total,3
Allegheny,Tarentum Ward 3 Dist 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,148
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,REP,Dave McCormick,total,234
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,LIB,John C. Thomas,total,9
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,CON,Marty Selker,total,3
Allegheny,Tarentum Ward 3 Dist 2,US Senator,NA,WRI,Write-in,total,0
Allegheny,Thornburg,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,210
Allegheny,Thornburg,US Senator,NA,REP,Dave McCormick,total,138
Allegheny,Thornburg,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Thornburg,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Thornburg,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Thornburg,US Senator,NA,WRI,Write-in,total,0
Allegheny,Pennsbury Vill,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,259
Allegheny,Pennsbury Vill,US Senator,NA,REP,Dave McCormick,total,200
Allegheny,Pennsbury Vill,US Senator,NA,LIB,John C. Thomas,total,8
Allegheny,Pennsbury Vill,US Senator,NA,GRN,Leila Hazou,total,6
Allegheny,Pennsbury Vill,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Pennsbury Vill,US Senator,NA,WRI,Write-in,total,0
Allegheny,Trafford,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,21
Allegheny,Trafford,US Senator,NA,REP,Dave McCormick,total,17
Allegheny,Trafford,US Senator,NA,LIB,John C. Thomas,total,1
Allegheny,Trafford,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Trafford,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Trafford,US Senator,NA,WRI,Write-in,total,0
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,341
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,REP,Dave McCormick,total,250
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,LIB,John C. Thomas,total,14
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,GRN,Leila Hazou,total,7
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,CON,Marty Selker,total,5
Allegheny,Turtle Creek Ward 1 Dist 1,US Senator,NA,WRI,Write-in,total,1
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,161
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,REP,Dave McCormick,total,90
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Turtle Creek Ward 1 Dist 2,US Senator,NA,WRI,Write-in,total,0
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,287
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,REP,Dave McCormick,total,110
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,LIB,John C. Thomas,total,10
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,CON,Marty Selker,total,2
Allegheny,Turtle Creek Ward 2 Dist 1,US Senator,NA,WRI,Write-in,total,1
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,135
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,REP,Dave McCormick,total,55
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Turtle Creek Ward 2 Dist 2,US Senator,NA,WRI,Write-in,total,2
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,201
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,REP,Dave McCormick,total,115
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,LIB,John C. Thomas,total,7
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,GRN,Leila Hazou,total,5
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Turtle Creek Ward 3 Dist 1,US Senator,NA,WRI,Write-in,total,3
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,173
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,REP,Dave McCormick,total,138
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,GRN,Leila Hazou,total,2
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,CON,Marty Selker,total,1
Allegheny,Turtle Creek Ward 3 Dist 2,US Senator,NA,WRI,Write-in,total,0
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,233
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,REP,Dave McCormick,total,177
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,GRN,Leila Hazou,total,1
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Up St Clair Ward 1 Dist 1,US Senator,NA,WRI,Write-in,total,0
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,385
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,REP,Dave McCormick,total,299
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,LIB,John C. Thomas,total,4
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,GRN,Leila Hazou,total,4
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,CON,Marty Selker,total,0
Allegheny,Up St Clair Ward 1 Dist 2,US Senator,NA,WRI,Write-in,total,1
Allegheny,Up St Clair Ward 1 Dist 3,US Senator,NA,DEM,"Robert P. Casey, Jr.",total,511
Allegheny,Up St Clair Ward 1 Dist 3,US Senator,NA,REP,Dave McCormick,total,488
